"PV1SCIE","PV1READ","PV1MATH","SOCONPA","INFOJOB2","INFOJOB1","INFOCAR","ICTOUTSIDE","ICTCLASS","HOMESCH","ENTUSE","BELONG","MASTGOAL","RESILIENCE","SWBP","EUDMO","GFOFAIL","WORKMAST","COMPETE","ATTLNACT","PISADIFF","SCREADDIFF","SCREADCOMP","JOYREAD","TEACHINT","ADAPTIVITY","STIMREAD","PERFEED","DIRINS","TEACHSUP","DISCLIMA","ICTRES","WEALTH","HEDRES","CULTPOSS","HOMEPOS","ICTSCH","ICTHOME","ESCS","CHANGE","SCCHANGE","AGE","GRADE","ST016Q01NA","IMMIG","HISEI","HISCED","FISCED","MISCED","ISCEDL","ST001D01T","REPEAT","ST004D01T"
691.598,667.326,654.036,0.9078,-0.164,-0.9778,-1.9166,0.7982,0.7904,0.2925,-0.288,-0.3184,0.1123,-0.0614,-0.5928,0.2621,-0.3799,-0.1015,-0.2661,-0.6583,-1.272,-1.1635,0.1222,-1.3681,0.9888,0.4572,1.1884,1.1225,0.1333,-0.0348,1.1945,0.6027,0.9938,-0.5089,0.6465,0.7723,7,9,1.1032,0,0,15.92,0,7,1,74.79,6,5,6,2,9,0,2
612.245,604.262,506.381,0.9078,-0.7697,-0.9778,-1.9166,0.0744,0.8081,-0.7221,-1.2956,0.958,0.7181,0.6769,-0.5928,0.2621,-0.0005,1.0596,1.1811,1.0844,-1.272,-1.8876,1.8839,2.6131,-0.2934,-1.1725,1.1543,0.7743,0.5853,1.314,-1.6846,1.2943,0.7587,1.1793,2.3457,1.6321,7,10,1.5482,0,0,15.5,0,6,1,79.05,6,6,6,2,9,0,1
392.082,444.698,406.722,0.9078,0.6352,0.7741,-0.4278,-0.343,0.0733,-0.4919,-0.1291,-0.3086,-0.4347,-0.4684,-0.5928,1.348,-0.13,-0.5983,1.2643,1.0844,0.2705,0.9065,-1.2042,-1.1285,-0.2934,0.4546,-0.62,1.3195,-0.1798,1.314,0.5156,-0.2792,-0.3387,1.1793,-0.711,-0.206,8,11,-0.6727,0,0,16.17,2,6,1,36.97,4,4,4,3,11,0,2
505.552,440.117,495.026,-1.6167,0.5132,-0.9778,-1.9166,0.2858,0.2245,1.6102,0.6978,-0.5635,-1.2137,-0.4292,-1.9005,-0.9827,0.4637,-1.7067,0.1956,-1.6139,0.2705,-0.0697,0.1222,-0.9378,-2.2177,-1.0467,-1.3451,-0.99,-0.8338,-2.7106,-1.1088,3.601,1.2248,-1.4781,0.094,0.1695,0,10,0.3067,0,0,15.33,0,1,1,46.38,6,4,6,2,9,0,2
513.948,498.254,484.624,-1.5287,-0.7697,-0.9778,-0.4107,0.8163,0.759,-0.0049,-0.9436,0.6879,-1.2438,-0.4684,0.1869,-0.569,-0.0845,-1.3356,-1.4383,-0.6583,0.2705,0.9065,-0.4089,-0.3008,0.1744,-0.5786,-0.6537,-0.3253,-0.6406,-0.3673,0.627,-0.94,-1.1339,1.1793,0.094,-0.5516,8,8,-0.5366,0,0,15.5,0,4,2,18.13,6,4,6,2,9,0,1
562.486,593.922,524.837,0.9078,-1.4728,-0.2917,-0.1738,0.3206,1.3234,0.1432,-0.1093,-1.4891,0.676,-0.115,-0.5928,0.5454,1.8905,1.1448,-0.2661,1.0844,-1.272,-1.8876,0.1222,2.6131,1.3209,0.2757,1.0419,0.7743,1.1049,1.314,-0.1693,0.3692,0.8743,1.1793,1.1665,1.1306,5,9,0.1781,0,0,15.5,0,4,2,30.9,5,5,4,2,9,0,1
601.594,564.097,554.147,-1.0299,0.3419,-0.9778,-0.68,1.1397,1.2179,-0.0861,-0.5459,0.0348,-0.5589,-0.4684,-0.5928,-0.9827,0.1097,-0.1015,0.7871,-1.1507,-1.272,-0.0697,0.1222,-0.3875,-0.2934,-0.9282,-0.3954,-0.0363,-0.9726,-0.7366,0.4501,-0.6231,-0.3392,-0.5492,0.6465,-0.2034,7,4,-0.2374,0,0,15.92,0,7,1,59.76,4,4,4,2,9,0,2
529.024,601.972,570.606,0.1541,-1.2239,-0.1992,-0.0812,0.0477,1.0418,0.5173,-0.3603,-0.0649,-0.4347,-0.096,0.1869,-0.9827,0.8794,-1.034,-0.6888,-0.6583,0.2705,-0.0697,0.1222,-0.5244,0.1744,-0.474,0.7586,-0.3253,-0.4621,0.3485,-0.2846,0.9144,1.711,1.1793,-0.1627,0.8817,7,10,0.1766,0,0,15.5,0,7,1,36.35,5,4,5,2,9,0,1
469.545,472.154,427.737,0.9078,-1.4728,-0.9778,-0.7602,-0.1781,0.1844,-0.4196,-1.0147,-0.4415,0.5761,-0.8738,-1.3186,0.2621,0.4637,1.8164,2.0054,1.0844,-1.272,0.409,-1.0985,-1.3214,0.1744,0.8329,2.0871,-0.3253,0.3183,-0.0348,-1.516,-0.1536,-0.2234,1.1793,-0.7337,-0.1671,7,11,-0.8847,0,0,15.67,0,5,1,24.98,4,4,4,2,9,0,2
539.296,509.038,485.138,0.9078,-0.1744,-0.9778,0.4475,0.0477,-1.2188,0.0436,0.4922,-0.3789,0.1123,-0.8386,-0.5928,-0.6723,0.4637,-0.1015,-0.2661,-0.6583,-0.5536,-0.0697,-0.4419,-0.1707,0.1744,0.1915,1.0419,0.2682,-0.1809,1.314,-0.0424,0.0895,0.6452,0.0477,0.8836,0.4495,9,10,-0.5132,0,0,15.92,2,7,1,30.78,4,4,4,3,11,0,2
